渠道,产品名称,品牌,产品大类,重量(克),商品价¥,含税价¥,克单价¥/g,500g单价¥,20支成本¥
nov,Old Joe Krantz White Label (Bulk),Cornell & Diehl,烟斗丝,226.8,203.3605,305.04,1.34,670.0,19.58
nov,Old Joe Krantz White Label (Bulk),Cornell & Diehl,烟斗丝,453.6,375.1475,562.72,1.24,620.0,18.38
nov,PS403 Luxury Bullseye Flake (Bulk),Peter Stokkebye,烟斗丝,28.3,40.4005,60.6,2.14,1070.0,29.18
nov,PS403 Luxury Bullseye Flake (Bulk),Peter Stokkebye,烟斗丝,56.7,76.048,114.07,2.01,1005.0,27.62
nov,PS403 Luxury Bullseye Flake (Bulk),Peter Stokkebye,烟斗丝,113.4,143.6085,215.41,1.9,950.0,26.3
nov,PS403 Luxury Bullseye Flake (Bulk),Peter Stokkebye,烟斗丝,226.8,267.9334,401.9,1.77,885.0,24.74
nov,PS403 Luxury Bullseye Flake (Bulk),Peter Stokkebye,烟斗丝,453.6,512.9166,769.37,1.7,850.0,23.9
nov,PS403 Luxury Bullseye Flake (Bulk),Peter Stokkebye,烟斗丝,680.4,737.8014,1106.7,1.63,815.0,23.06
nov,PS41 Cube Cut (Bulk),Peter Stokkebye,烟斗丝,28.3,28.7217,43.08,1.52,760.0,21.74
nov,PS41 Cube Cut (Bulk),Peter Stokkebye,烟斗丝,56.7,53.9805,80.97,1.43,715.0,20.66
nov,PS41 Cube Cut (Bulk),Peter Stokkebye,烟斗丝,113.4,101.9179,152.88,1.35,675.0,19.7
nov,PS41 Cube Cut (Bulk),Peter Stokkebye,烟斗丝,226.8,190.12,285.18,1.26,630.0,18.62
nov,PS41 Cube Cut (Bulk),Peter Stokkebye,烟斗丝,453.6,363.944,545.92,1.2,600.0,17.9
nov,Lane BCA (Bulk),Lane Limited,烟斗丝,28.3,27.2958,40.94,1.45,725.0,20.9
nov,Lane BCA (Bulk),Lane Limited,烟斗丝,56.7,51.4003,77.1,1.36,680.0,19.82
nov,Lane BCA (Bulk),Lane Limited,烟斗丝,113.4,97.0291,145.54,1.28,640.0,18.86
nov,Lane BCA (Bulk),Lane Limited,烟斗丝,226.8,181.0214,271.53,1.2,600.0,17.9
nov,Lane BCA (Bulk),Lane Limited,烟斗丝,453.6,346.5616,519.84,1.15,575.0,17.3
nov,Kendal Dark Vintage Cut,Gawith Hoggarth & Co. (Bulk),烟斗丝,28.3,37.4808,56.22,1.99,995.0,27.38
nov,Kendal Dark Vintage Cut,Gawith Hoggarth & Co. (Bulk),烟斗丝,56.7,70.4802,105.72,1.86,930.0,25.82
nov,Kendal Dark Vintage Cut,Gawith Hoggarth & Co. (Bulk),烟斗丝,113.4,133.084,199.63,1.76,880.0,24.62
nov,Kendal Dark Vintage Cut,Gawith Hoggarth & Co. (Bulk),烟斗丝,226.8,248.2424,372.36,1.64,820.0,23.18
nov,Kendal Dark Vintage Cut,Gawith Hoggarth & Co. (Bulk),烟斗丝,453.6,475.2321,712.85,1.57,785.0,22.34
nov,Kendal Dark Vintage Cut,Gawith Hoggarth & Co. (Bulk),烟斗丝,500.0,502.2563,753.38,1.51,755.0,21.62
nov,Mahogany Flake,Gawith Hoggarth & Co. (Bulk),烟斗丝,28.3,55.4743,83.21,2.94,1470.0,38.78
nov,Mahogany Flake,Gawith Hoggarth & Co. (Bulk),烟斗丝,56.7,104.4302,156.65,2.76,1380.0,36.62
nov,Mahogany Flake,Gawith Hoggarth & Co. (Bulk),烟斗丝,113.4,197.1137,295.67,2.61,1305.0,34.82
nov,Mahogany Flake,Gawith Hoggarth & Co. (Bulk),烟斗丝,226.8,367.7464,551.62,2.43,1215.0,32.66
nov,Mahogany Flake,Gawith Hoggarth & Co. (Bulk),烟斗丝,453.6,703.9872,1055.98,2.33,1165.0,31.46
nov,Mahogany Flake,Gawith Hoggarth & Co. (Bulk),烟斗丝,500.0,744.0482,1116.07,2.23,1115.0,30.26
