品牌,覆盖渠道,产品大类,产品数,最低价(¥),最高价(¥),均价(¥),均价($),最小重量(g),最大重量(g)
美国精神,pipeuncle,烟丝,4,49.0,49.0,49.0,7.22,30.0,30.0
老人牌,huasheng,耗材,9,2.24,14.58,8.57,1.26,,
老霍本,pipeuncle,烟丝,2,35.0,35.0,35.0,5.15,25.0,25.0
舞女,huasheng,耗材,1,5.52,5.52,5.52,0.81,,
船长,huasheng,烟斗丝,5,49.88,55.0,50.9,7.5,42.5,42.5
菠萝,huasheng,烟斗丝,4,36.17,75.52,64.3,9.47,25.0,50.0
萨维内利,huasheng,烟斗丝,2,84.84,160.37,122.61,18.06,50.0,100.0
蓝巴厘,huasheng,烟丝,1,36.2,36.2,36.2,5.33,40.0,40.0
蓝绞盘方,huasheng,烟丝,1,101.37,101.37,101.37,14.93,50.0,50.0
虎牌,huasheng,耗材,5,2.68,23.23,11.77,1.73,,
蝴蝶,huasheng,烟丝,3,37.99,37.99,37.99,5.59,50.0,50.0
野牛,huasheng,烟丝,1,31.65,31.65,31.65,4.66,50.0,50.0
金冠,huasheng,耗材,1,12.21,12.21,12.21,1.8,,
阿姆斯特丹,pipeuncle,烟丝,12,28.0,28.0,28.0,4.12,25.0,25.0
阿斯顿,huasheng,烟斗丝,1,96.19,96.19,96.19,14.17,50.0,50.0
阿里山/,花店,成品烟,9,20.12,37.44,26.21,3.86,,
霍本,huasheng,烟丝,1,50.0,50.0,50.0,7.36,40.0,40.0
飞机,huasheng,烟丝,19,50.88,82.52,77.45,11.41,40.0,50.0
飞鸟/,花店,烟斗丝,1,168.48,168.48,168.48,24.83,100.0,100.0
香烟套餐/,花店,套餐,4,283.61,326.2,301.63,44.45,2601.0,2601.0
马坝,huasheng,套餐 | 烟丝,19,37.31,79.58,50.92,7.5,40.0,50.0
马霸手卷,pipeuncle,烟丝,8,33.0,33.0,33.0,4.86,30.0,30.0
马霸选择,pipeuncle,烟丝,24,31.0,31.0,31.0,4.57,30.0,30.0
黄巴厘,huasheng,烟丝,1,36.2,36.2,36.2,5.33,40.0,40.0
黄绞盘方,huasheng,烟丝,1,101.37,101.37,101.37,14.93,50.0,50.0
黄鹤楼/,花店,成品烟,1,36.04,36.04,36.04,5.31,,
黑法官,huasheng,烟丝,1,105.85,105.85,105.85,15.59,50.0,50.0
黑船长,huasheng | pipeuncle,烟丝,15,31.65,43.0,39.22,5.78,40.0,50.0
黑蜘蛛,huasheng,烟丝,5,32.17,32.17,32.17,4.74,40.0,40.0
黑马,huasheng,耗材,19,4.97,44.38,19.27,2.84,,
黑鹰,huasheng,烟丝,1,89.1,89.1,89.1,13.12,100.0,100.0
黑鹰桶装,huasheng,烟丝,1,89.1,89.1,89.1,13.12,100.0,100.0
鼓牌,pipeuncle,烟丝,6,53.0,1210.0,435.67,64.16,50.0,50.0
